Date,PAM_shr_px,PAM_shrs,PAM_mkt_cap,SUPV_shr_px,SUPV_shrs,SUPV_mkt_cap,TEO_shr_px,TEO_shrs,TEO_mkt_cap,EDN_shr_px,EDN_shrs,EDN_mkt_cap,BBAR_shr_px,BBAR_shrs,BBAR_mkt_cap,LOMA_shr_px,LOMA_shrs,LOMA_mkt_cap,YPF_shr_px,YPF_shrs,YPF_mkt_cap,BMA_shr_px,BMA_shrs,BMA_mkt_cap,TS_shr_px,TS_shrs,TS_mkt_cap,CEPU_shr_px,CEPU_shrs,CEPU_mkt_cap,TGS_shr_px,TGS_shrs,TGS_mkt_cap,AGRO_shr_px,AGRO_shrs,AGRO_mkt_cap,CAAP_shr_px,CAAP_shrs,CAAP_mkt_cap,GGAL_shr_px,GGAL_shrs,GGAL_mkt_cap,CRESY_shr_px,CRESY_shrs,CRESY_mkt_cap,BIOX_shr_px,BIOX_shrs,BIOX_mkt_cap,VIST_shr_px,VIST_shrs,VIST_mkt_cap
27/06/2005,,,,,,,6.292039394378662,323.048,2032.630742275238,,82.37,,3.2914137840271,,,,,,30.76563835144043,392.947,12089.265293283463,,60.9,,9.952141761779783,581.61,5788.26517006874,,70.32,,2.5754754543304443,158.302,407.702915371418,,,,,,,6.392014503479004,153.342,980.1642879924775,7.34797477722168,37.369,274.58646944999697,,,,,,
20/06/2005,,,,,,,6.302196979522705,323.048,2035.9121298408509,,82.37,,3.411576271057129,,,,,,30.001989364624023,392.947,11789.191714860915,,60.9,,9.865930557250977,581.61,5738.12387140274,,70.32,,2.770106792449951,158.302,438.51344545841215,,,,,,,6.767056941986084,153.342,1037.6740455980303,7.428110122680664,37.369,277.5810471744537,,,,,,
13/06/2005,,,,,,,6.606896877288818,323.048,2134.344822414398,,82.37,,3.489943027496338,,,,,,29.578962326049805,392.947,11622.964509134292,,60.9,,9.507147789001465,581.61,5529.452225561142,,70.32,,2.7746331691741943,158.302,439.2299799466133,,,,,,,6.897506237030029,153.342,1057.6774013986587,7.576056003570557,37.369,283.10963679742815,,,,,,
06/06/2005,,,,,,,6.322508811950684,323.048,2042.4738266830445,,82.37,,3.3175368309021,,,,,,28.249446868896484,392.947,11100.535398792266,,60.9,,8.836830139160156,581.61,5139.588777236939,,70.32,,2.711264610290528,158.302,429.1986103382111,,,,,,,6.775210380554199,153.342,1038.924310174942,7.539072036743164,37.369,281.7275829410553,,,,,,
30/05/2005,,,,,,,6.474859714508057,323.048,2091.690481052399,,82.37,,3.5787594318389893,,,,,,28.650501251220703,392.947,11258.128515163422,,60.9,,8.907424926757812,581.61,5180.647411651611,,70.32,,2.883264780044556,158.302,456.4265812106133,,,,,,,7.231781959533691,153.342,1108.9359092388154,7.36646556854248,37.369,275.2774518308639,,,,,,
23/05/2005,,,,,,,5.987340450286865,323.048,1934.1983577842711,,82.37,,3.5787594318389893,,,,,,28.23296356201172,392.947,11094.058332801818,,60.9,,8.855406761169434,581.61,5150.393126363754,,70.32,,2.770106792449951,158.302,438.51344545841215,,,,,,,6.881199359893799,153.342,1055.176872244835,7.982906818389893,37.369,298.3132448964119,,,,,,
16/05/2005,,,,,,,6.053359031677246,323.048,1955.525528465271,,82.37,,3.489943027496338,,,,,,28.84278678894043,392.947,11333.686540353776,,60.9,,8.35380744934082,581.61,4858.657950611115,,70.32,,2.7882120609283447,158.302,441.3795456690788,,,,,,,6.546922206878662,153.342,1003.9181450471879,7.890441417694092,37.369,294.8579053378105,,,,,,
09/05/2005,,,,,,,5.967026233673096,323.048,1927.6358907356262,,82.37,,3.5212903022766118,,,,,,28.00222396850586,392.947,11003.389901752473,,60.9,,8.191561698913574,581.61,4764.294199705124,,70.32,,2.5392653942108154,158.302,401.9707904343605,,,,,,,6.522464752197266,153.342,1000.1677900314332,7.551398754119873,37.369,282.18822004270555,,,,,,
02/05/2005,,,,,,,6.099062919616699,323.048,1970.2900780563355,,82.37,,3.375005960464477,,,,,,29.39766502380371,392.947,11551.724278108597,,60.9,,8.483851432800293,581.61,4934.292831830979,,70.32,,2.561896085739136,158.302,405.55327416467674,,,,,,,6.383861541748047,153.342,978.9140965347291,6.645231246948242,37.369,248.32564646720886,,,,,,
25/04/2005,,,,,,,5.814677238464356,323.048,1878.4198525314334,,82.37,,3.228720664978028,,,,,,26.942506790161133,392.947,10586.977215673447,,60.9,,7.078134536743164,581.61,4116.713827915191,,70.32,,2.385369777679444,158.302,377.60880654621127,,,,,,,6.000667095184326,153.342,920.154293709755,6.349339008331299,37.369,237.2684494023323,,,,,,
18/04/2005,,,,,,,6.022888660430908,323.048,1945.682135974884,,82.37,,3.2443935871124268,,,,,,28.017290115356445,392.947,11009.31009895897,,60.9,,7.288681983947754,581.61,4239.170328683853,,70.32,,2.2631595134735107,158.302,358.2626773018837,,,,,,,6.041431903839111,153.342,926.4052509984971,6.787012577056885,37.369,253.6238729920387,,,,,,
11/04/2005,,,,,,,5.956871032714844,323.048,1924.3552733764648,,82.37,,3.0563130378723145,,,,,,25.56512260437012,392.947,10045.738232019427,,60.9,,6.626075267791748,581.61,3853.791636500359,,70.32,,2.267685651779175,158.302,358.9791740479469,,,,,,,5.69900369644165,153.342,873.8966248197556,7.2123565673828125,37.369,269.51855256652834,,,,,,
04/04/2005,,,,,,,6.175239562988281,323.048,1994.8987903442383,,82.37,,3.239169120788574,,,,,,28.18424415588379,392.947,11074.914188322067,,60.9,,7.697393894195557,581.61,4476.881262803078,,70.32,,2.561896085739136,158.302,405.55327416467674,,,,,,,6.3512492179870605,153.342,973.913257584572,8.476058959960938,37.369,316.7418472747803,,,,,,
28/03/2005,,,,,,,6.3275885581970215,323.048,2044.1148285484314,,82.37,,3.343657970428467,,,,,,28.069459915161133,397.947,11170.157364858627,,61.6,,7.685009479522705,581.61,4469.678363385201,,71.094,,2.6252646446228027,158.302,415.5846437730789,,,,,,,6.318636894226074,210.552,1330.4016353530883,8.525375366210938,57.094,486.74778115844725,,,,,,
21/03/2005,,,,,,,6.00765323638916,323.048,1940.7603627090455,,82.37,,3.1085572242736816,,,,,,28.66946029663086,397.947,11408.925716663362,,61.6,,7.610697269439697,581.61,4426.457638878823,,71.094,,2.6524224281311035,158.302,419.88377521800993,,,,,,,6.049585342407227,210.552,1273.7522930145262,8.44523811340332,57.094,482.17242484664916,,,,,,
14/03/2005,,,,,,,6.231099605560303,323.048,2012.9442653770448,,82.37,,3.375005960464477,,,,,,30.54249763488769,397.947,12154.295306310652,,61.6,,7.951288223266602,581.61,4624.548743534088,,71.094,,2.7882120609283447,158.302,441.3795456690788,,,,,,,6.612147808074951,210.552,1392.2009452857972,8.722635269165039,57.094,498.01013805770873,,,,,,
07/03/2005,,,,,,,6.236177921295166,323.048,2014.5848051185608,,82.37,,3.489943027496338,,,,,,28.97728729248047,397.947,11531.424546180726,,61.6,,7.76303243637085,581.61,4515.05729531765,,71.094,,2.7338967323303223,158.302,432.78132052135464,,,,,,,6.791513442993164,210.552,1429.9667384490967,9.24044704437256,57.094,527.5740835514069,,,,,,
28/02/2005,,,,,,,7.429582595825195,323.048,2400.111798416138,,82.37,,4.069859981536865,,,,,,31.46075820922852,397.947,12519.714347087862,,61.6,,8.080097198486328,581.61,4699.465331611634,,71.094,,2.9421067237854004,158.302,465.7413785886764,,,,,,,7.74542760848999,210.552,1630.8152738227843,10.300724983215332,57.094,588.1095921916962,,,,,,
