Date,PAM,SUPV,TEO,EDN,BBAR,LOMA,YPF,BMA,TS,CEPU,TGS,AGRO,CAAP,GGAL,CRESY,BIOX,VIST
2024-02-05,44.08000183105469,3.8444509506225586,7.380000114440918,17.700000762939453,5.067205905914307,6.21999979019165,16.639999389648438,29.43939208984375,30.94817543029785,8.479999542236328,13.539999961853027,9.829999923706055,16.399999618530273,18.826017379760742,7.824329853057861,13.569999694824219,30.93000030517578
2024-01-29,48.59000015258789,4.60553503036499,7.869999885559082,19.510000228881836,5.734684944152832,7.119999885559082,17.18000030517578,33.65890884399414,31.36837387084961,9.600000381469727,14.949999809265137,10.5600004196167,16.459999084472656,21.699462890625,8.93118667602539,12.65999984741211,32.220001220703125
2024-01-22,49.939998626708984,4.420143127441406,7.920000076293945,20.049999237060547,5.960312366485596,7.179999828338623,17.690000534057617,32.686668395996094,32.21854782104492,9.489999771118164,15.470000267028809,10.180000305175781,15.880000114440918,21.085140228271484,8.921645164489746,13.649999618530273,33.18000030517578
2024-01-15,47.779998779296875,3.961540699005127,7.420000076293945,19.719999313354492,4.9261884689331055,6.889999866485596,15.630000114440918,27.815753936767578,30.957948684692383,9.09000015258789,14.40999984741211,10.130000114440918,15.970000267028809,17.0325927734375,8.559054374694824,13.640000343322754,31.559999465942383
2024-01-08,46.90999984741211,3.4639086723327637,6.599999904632568,18.450000762939453,4.559545040130615,6.650000095367432,15.890000343322754,25.355989456176758,31.573591232299805,8.684150695800781,14.40999984741211,10.649999618530273,16.479999542236328,15.833671569824219,8.559054374694824,13.850000381469727,30.899999618530273
2024-01-01,48.16999816894531,3.288273811340332,6.940000057220459,18.389999389648438,4.634754180908203,6.690000057220459,16.700000762939453,24.83836555480957,33.176212310791016,8.86279582977295,14.350000381469727,10.789999961853027,15.789999961853027,16.33900260925293,8.597221374511719,13.319999694824219,29.790000915527344
2023-12-25,49.52000045776367,3.961540699005127,7.150000095367432,19.3700008392334,5.114211559295654,7.090000152587891,17.190000534057617,27.281328201293945,33.96774673461914,8.90307331085205,15.09000015258789,11.100000381469727,16.059999465942383,17.111860275268555,9.04568862915039,13.729999542236328,29.510000228881836
2023-12-18,50.36000061035156,4.351840496063232,7.730000019073486,19.030000686645508,5.396245002746582,6.909999847412109,17.5,28.336458206176758,34.44657897949219,8.40258502960205,15.100000381469727,11.09000015258789,16.6299991607666,18.033344268798828,9.160191535949707,13.649999618530273,29.84000015258789
2023-12-11,48.79999923706055,3.6102712154388428,7.53000020980835,19.950000762939453,4.907386302947998,6.650000095367432,17.040000915527344,25.47524642944336,33.352108001708984,8.788370132446289,15.489999771118164,11.390000343322754,15.880000114440918,16.29936981201172,9.351029396057129,13.520000457763672,28.610000610351562
2023-12-04,47.369998931884766,3.7468760013580322,8.199999809265137,17.600000381469727,5.020199775695801,6.699999809265137,17.139999389648438,25.845970153808594,33.18598175048828,8.09207534790039,13.829999923706055,10.4399995803833,14.449999809265137,17.339754104614258,8.3468599319458,12.680000305175781,30.389999389648438
